"lat","long","city"
"52.6473894","10.4656219","Groß Oesingen"
"53.6423175","9.2352937","Hechthausen"
"53.3140131","12.2426273","Meyenburg"
"49.6702181","9.6417327","Werbach"
"51.2652237","6.6760958","Meerbusch"
"52.3024786","7.1605921","Bad Bentheim"
"53.5956752","9.9073853","Hamburg"
"51.23812","6.78678","Düsseldorf"
"49.86315995","8.142232524805078","Saulheim"
"48.6214009","8.5170087","Simmersfeld"
"49.7955367","10.3435799","Wiesentheid"
"48.3789351","8.8877867","Rangendingen"
"50.1664216","10.2044486","Rannungen"
"50.7254905","8.7242893","Roth"
"52.965596","10.3138806","Eimke"
"52.1363237","7.7391678","Ladbergen"
"48.1777595","10.5954943","Mittelneufnach"
"50.7145445","9.2187448","Romrod"
"51.6425572","9.4502277","Bad Karlshafen"
"49.4157754","7.1184202","Ottweiler"
"51.4590647","13.8656245","Ruhland"
"50.5833915","7.9184246","Langenhahn"
"48.312232","12.5075581","Niederbergkirchen"
"52.6473894","10.4656219","Groß Oesingen"
"51.6717596","8.6068636","Salzkotten"
"51.0657642","10.9352526","Walschleben"
"48.2545659","7.8080276","Ettenheim"
"48.7042331","9.5856424","Uhingen"
"53.3410313","10.348257","Handorf"
"52.7033308","11.0917904","Beetzendorf"
"49.3260163","7.052847","Quierschied"
"50.3381439","7.4687678","Wolken"
"51.40765275","8.484036663627593","Brilon"
"54.1265524","9.5617707","Todenbüttel"
"47.9972778","12.0551783","Emmering"
"51.801597","11.6692759","Ilberstedt"
"52.8418097","7.5195614","Sögel"
"48.685212","12.8820639","Wallerfing"
"49.076258","12.1080602","Zeitlarn"
